topic,label,coherence,size
12,wedding / weddings / the,0.2639,99
0,the / to / in,0.1639,3603
1,to / you / and,0.1549,659
5,the / game / to,0.1583,222
2,and / to / you,0.1619,536
11,the / to / of,0.2041,136
10,the / tax / to,0.1856,151
3,coronavirus / covid19 / the,0.191,487
14,prince / harry / meghan,0.2503,100
13,drug / to / marijuana,0.2005,88
4,dog / the / of,0.1359,273
7,students / to / education,0.1851,191
6,climate / change / to,0.2248,195
8,hurricane / storm / in,0.2144,146
9,olympics / olympic / the,0.2237,140
